"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'FOB (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'FOB (Baht)')"
AL,ALBANIA,0,0,17000,570448
AO,ANGOLA,170000,6073088,269000,9565010
AU,AUSTRALIA,534980,19497983,3572230,125886456
BD,BANGLADESH,618000,22413517,1721250,62127011
KH,CAMBODIA,116800,4131249,1053300,36970419
CM,CAMEROON,0,0,74250,2682722
CA,CANADA,96000,3338460,524000,18631557
CN,CHINA,4348470,145763730,31633272,1084945368
CG,CONGO,34000,1187745,284000,9695319
CI,COTE D IVOIRE,0,0,34000,1211648
DJ,DJIBOUTI,310000,10841143,1290650,44315669
FJ,FIJI,108000,3744385,301700,10374268
PF,FRENCH POLYNESIA,0,0,27000,970990
DE,GERMANY,19200,1485865,55500,3570038
GH,GHANA,69000,2485034,69000,2485034
HK,HONG KONG,255975,8310286,526448,17210947
IN,INDIA,1532725,52576346,8375210,298782193
ID,INDONESIA,3029850,110340045,14459500,522657283
IL,ISRAEL,0,0,3000,197030
JP,JAPAN,1622400,63339452,6784792,263586406
KZ,KAZAKHSTAN,103000,3636897,273000,9427420
KE,KENYA,25500,921032,127500,4572823
KR,"KOREA,REPUBLIC OF",587250,21707293,2427900,88727325
LA,LAO PDR,163950,6275888,2076212,85252021
MY,MALAYSIA,669460,25534893,2917088,114978965
MV,MALDIVES,8000,286986,8034,300946
MU,MAURITIUS,17000,638374,52000,1923002
MX,MEXICO,12000,409815,84000,2829314
MZ,MOZAMBIQUE,0,0,69500,2390644
MM,MYANMAR,503000,17726942,2865870,97827787
NP,NEPAL,17250,594915,51750,1872765
NL,NETHERLANDS,0,0,19200,947070
NC,NEW CALEDONIA,18000,631652,65000,2231703
NZ,NEW ZEALAND,175000,6189222,903250,31083438
PG,PAPUA NEW GUINEA,64000,2243344,241000,8269538
PH,PHILIPPINES,438750,16060623,2728000,95365511
PT,PORTUGAL,400000,13183121,1150005,37403134
RE,REUNION,17000,633675,111000,4087152
RU,RUSSIAN FEDERATION,0,0,18000,601030
SA,SAUDI ARABIA,0,0,690,137665
SG,SINGAPORE,67500,2429488,153000,5495941
SB,SOLOMON ISLANDS,0,0,5000,171229
ZA,SOUTH AFRICA,0,0,209000,7483344
LK,SRI LANKA,51750,1805964,264750,9665943
SE,SWEDEN,0,0,4500,158384
TW,"TAIWAN, PROVINCE OF CHINA",1454175,51594118,6445175,227670375
UA,UKRAINE,34500,1297498,224250,8634241
US,UNITED STATES,28000,991421,109750,3842829
VN,VIETNAM,3545048,123476617,21204759,722424331
SUM,SUM,21265533,753798106,115884285,4092211686
