"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'FOB (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'FOB (Baht)')"
AU,AUSTRALIA,120000,7710398,154000,9732637
BD,BANGLADESH,680000,41574655,748000,45520165
KH,CAMBODIA,0,0,1760,130633
CN,CHINA,6915000,430040254,15188400,915505629
IN,INDIA,1476000,90126342,3032000,181017693
ID,INDONESIA,160000,9728278,259500,15444554
JP,JAPAN,12000,855934,14250,990006
KR,"KOREA,REPUBLIC OF",200,24238,11150,634435
MY,MALAYSIA,9375,618372,10125,674046
PK,PAKISTAN,119000,7198871,238000,14041134
PH,PHILIPPINES,0,0,1500,71459
SG,SINGAPORE,7700,524135,8375,581535
LK,SRI LANKA,38960,2481289,157960,9439758
TW,"TAIWAN, PROVINCE OF CHINA",0,0,700,49774
US,UNITED STATES,38000,2392556,88000,5379691
VN,VIETNAM,45550,2840135,124700,7562441
SUM,SUM,9621785,596115457,20038420,1206775590
