"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
AU,AUSTRALIA,553570,22335250,1508230,61424605
BD,BANGLADESH,309000,12925461,1067400,46514899
BR,BRAZIL,156000,6543357,156000,6543357
KH,CAMBODIA,38000,1984694,41475,2026394
CN,CHINA,4966225,212465239,13839825,603258540
CI,COTE D IVOIRE,17000,777691,34000,1553989
HK,HONG KONG,0,0,18500,822384
IN,INDIA,1684925,64270943,3356125,129942802
ID,INDONESIA,2456225,105964155,8392625,375022795
IL,ISRAEL,168000,7199267,353000,15614292
IT,ITALY,0,0,25,1611
JP,JAPAN,195625,9925157,580300,28943060
KE,KENYA,51000,2149688,51000,2149688
KR,"KOREA,REPUBLIC OF",75,5115,12075,574234
LA,LAO PDR,0,0,116000,4902584
MY,MALAYSIA,320800,14056505,930300,42688866
MM,MYANMAR,0,0,170000,7757836
NZ,NEW ZEALAND,30000,1333419,558480,25200762
NG,NIGERIA,50750,1913131,50750,1913131
OM,OMAN,51000,2000275,102000,4018305
PK,PAKISTAN,28425,2538392,262175,15304095
PH,PHILIPPINES,749200,30385258,1760775,73724883
SG,SINGAPORE,41000,1650190,58000,2341623
ZA,SOUTH AFRICA,1500,140834,4300,409781
LK,SRI LANKA,34000,1451867,68000,2959900
TW,"TAIWAN, PROVINCE OF CHINA",24100,1019946,56850,2611414
TZ,TANZANIA UNITED REPUBLIC OF,0,0,33000,1449993
TR,TÜRKIYE,0,0,189300,7760614
VN,VIETNAM,782625,31082101,1871175,74625147
SUM,SUM,12709045,534117935,35641685,1542061584
