"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'FOB (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'FOB (Baht)')"
AU,AUSTRALIA,29640,2155835,99340,7859480
BD,BANGLADESH,3600,398780,3600,398780
CN,CHINA,23973152,370463267,135626739,974601639
DK,DENMARK,0,0,3,292
DJ,DJIBOUTI,50,7115,50,7115
DE,GERMANY,0,0,1,187
HK,HONG KONG,0,0,350,55052
IN,INDIA,85100,3356557,555001,22779936
ID,INDONESIA,66675,3579775,251960,12219706
JP,JAPAN,192886,8422765,299584,14412859
KR,"KOREA,REPUBLIC OF",7125,432464,7647,466566
LA,LAO PDR,500,181271,11300,908584
MY,MALAYSIA,64085,5157818,163510,11963800
MU,MAURITIUS,0,0,1000,166942
MM,MYANMAR,18975,856972,39976,1726936
NZ,NEW ZEALAND,30800,2323716,96135,7230580
NG,NIGERIA,238000,5153554,238000,5153554
PK,PAKISTAN,0,0,500,78322
PH,PHILIPPINES,11000,1066326,37200,3361175
PT,PORTUGAL,0,0,5,315
RU,RUSSIAN FEDERATION,0,0,300,54775
SA,SAUDI ARABIA,0,0,16800,1194423
SG,SINGAPORE,14000,820507,16000,928386
ZA,SOUTH AFRICA,0,0,4000,733465
LK,SRI LANKA,1500,241335,2000,293557
TW,"TAIWAN, PROVINCE OF CHINA",167000,7939258,359130,15415278
GB,UNITED KINGDOM,0,0,3,189
US,UNITED STATES,60,14320,67,14968
VN,VIETNAM,71475,4502103,216840,12315512
SUM,SUM,24975623,417073738,138047041,1094342373
