"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'FOB (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'FOB (Baht)')"
CN,CHINA,0,0,450,19621
ZA,SOUTH AFRICA,30000,2161282,60000,4265569
SUM,SUM,30000,2161282,60450,4285190
