"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AO,ANGOLA,197000,8781169,197000,8781169
AR,ARGENTINA,91750,4042778,91750,4042778
AU,AUSTRALIA,9643650,422848624,9643650,422848624
BD,BANGLADESH,1011500,39990625,1011500,39990625
BE,BELGIUM,54000,2012189,54000,2012189
BR,BRAZIL,382500,17361759,382500,17361759
BN,BRUNEI DARUSSALAM,7000,311292,7000,311292
KH,CAMBODIA,851500,34871042,851500,34871042
CL,CHILE,1218000,57858230,1218000,57858230
CN,CHINA,15551485,608810299,15551485,608810299
CO,COLOMBIA,51000,2427603,51000,2427603
CG,CONGO,54000,2446933,54000,2446933
CI,COTE D IVOIRE,699000,28713808,699000,28713808
DJ,DJIBOUTI,867500,35375277,867500,35375277
DO,DOMINICAN REPUBLIC,178500,9026574,178500,9026574
EE,ESTONIA,96000,4358667,96000,4358667
FJ,FIJI,89600,3960538,89600,3960538
PF,FRENCH POLYNESIA,54000,2338981,54000,2338981
GH,GHANA,738750,30799165,738750,30799165
GT,GUATEMALA,222750,10662424,222750,10662424
IN,INDIA,838400,36273534,838400,36273534
ID,INDONESIA,11490975,473871945,11490975,473871945
IL,ISRAEL,108000,4605991,108000,4605991
IT,ITALY,72000,3147360,72000,3147360
JP,JAPAN,11540750,505377046,11540750,505377046
KE,KENYA,123500,5226468,123500,5226468
KR,"KOREA,REPUBLIC OF",371025,14436951,371025,14436951
LA,LAO PDR,512800,22056037,512800,22056037
MG,MADAGASCAR,18250,895648,18250,895648
MY,MALAYSIA,3959050,162936819,3959050,162936819
MU,MAURITIUS,97750,4693571,97750,4693571
YT,MAYOTTE,18000,815644,18000,815644
MA,MOROCCO,195000,8031022,195000,8031022
MZ,MOZAMBIQUE,122500,5069172,122500,5069172
MM,MYANMAR,4395200,174670165,4395200,174670165
NL,NETHERLANDS,74250,3546112,74250,3546112
NZ,NEW ZEALAND,1252500,59253107,1252500,59253107
NG,NIGERIA,291500,13128740,291500,13128740
PK,PAKISTAN,163000,6649378,163000,6649378
PG,PAPUA NEW GUINEA,62000,2750134,62000,2750134
PH,PHILIPPINES,2943175,119461426,2943175,119461426
PL,POLAND,48000,2096159,48000,2096159
PT,PORTUGAL,549000,21891085,549000,21891085
PR,PUERTO RICO,402000,18637531,402000,18637531
QA,QATAR,1596000,67049753,1596000,67049753
RE,REUNION,36000,1696193,36000,1696193
RU,RUSSIAN FEDERATION,3606000,170008480,3606000,170008480
SN,SENEGAL,52500,2099084,52500,2099084
SG,SINGAPORE,99750,4499673,99750,4499673
SI,SLOVENIA,144000,5823971,144000,5823971
ZA,SOUTH AFRICA,1131600,48967580,1131600,48967580
ES,SPAIN,133500,5671227,133500,5671227
LK,SRI LANKA,35000,1539329,35000,1539329
TZ,TANZANIA UNITED REPUBLIC OF,356500,16122803,356500,16122803
TG,TOGO,18250,801234,18250,801234
TR,TÜRKIYE,108000,4588165,108000,4588165
AE,UNITED ARAB EMIRATES,23000,994433,23000,994433
US,UNITED STATES,335400,13872105,335400,13872105
UY,URUGUAY,321750,14380478,321750,14380478
VN,VIETNAM,13044875,508394716,13044875,508394716
SUM,SUM,92750235,3863028246,92750235,3863028246
