"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'FOB (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'FOB (Baht)')"
AR,ARGENTINA,25,1726,25,1726
AU,AUSTRALIA,1029753,50429724,3629338,209938009
AT,AUSTRIA,0,0,150,116178
BD,BANGLADESH,519750,23127997,953880,45193465
BE,BELGIUM,118800,7377858,910800,57392753
BT,BHUTAN,99000,4534446,99000,4534446
BR,BRAZIL,25,1726,25,1726
KH,CAMBODIA,0,0,12000,593043
CM,CAMEROON,200,33154,200,33154
CN,CHINA,25499394,1302440197,131639368,7530860773
ET,ETHIOPIA,0,0,16000,470906
FJ,FIJI,0,0,38000,1717044
DE,GERMANY,0,0,225400,15303759
GH,GHANA,0,0,31000,775000
HK,HONG KONG,139893,6821417,1149197,62181339
IN,INDIA,4635250,208294520,23446769,1122419621
ID,INDONESIA,5761310,267562963,17906775,889159045
JP,JAPAN,5212427,266953009,37894470,2134180001
KR,"KOREA,REPUBLIC OF",450675,30293260,7145910,506390312
LA,LAO PDR,0,0,46425,1809679
MY,MALAYSIA,946925,47052903,3551605,208727213
MU,MAURITIUS,0,0,34100,908613
MM,MYANMAR,197875,7175439,450668,16173633
NP,NEPAL,32500,1034689,224450,10953019
NL,NETHERLANDS,0,0,0,177
NZ,NEW ZEALAND,654230,31411974,1620280,83116652
PK,PAKISTAN,49500,2191614,132830,6115936
PG,PAPUA NEW GUINEA,0,0,50,7459
PH,PHILIPPINES,952050,41734895,3127950,142473856
SA,SAUDI ARABIA,19200,1735073,53400,4888990
SG,SINGAPORE,567500,39441700,2603376,178752985
ZA,SOUTH AFRICA,19800,1389437,28400,3169114
ES,SPAIN,0,0,300,21352
LK,SRI LANKA,99000,4634773,496350,25296658
SE,SWEDEN,0,0,3,1180
CH,SWITZERLAND,0,0,324,31108
TW,"TAIWAN, PROVINCE OF CHINA",714675,36544036,5062068,294948388
TZ,TANZANIA UNITED REPUBLIC OF,0,0,16000,497736
TR,TÜRKIYE,15200,877131,26200,1761195
US,UNITED STATES,57601,4019815,293842,20335762
VN,VIETNAM,889430,61103734,6833222,495167276
SUM,SUM,48681988,2448219210,249700150,14076420281
