"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'FOB (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'FOB (Baht)')"
AU,AUSTRALIA,873575,33160000,1874900,72638791
BD,BANGLADESH,352100,11820074,442100,14944882
KH,CAMBODIA,626750,24544782,1197750,47569739
CA,CANADA,143375,5717021,191375,7632096
CN,CHINA,47477030,1650159976,88081895,3110419676
CI,COTE D IVOIRE,28000,1071579,56000,2175731
DJ,DJIBOUTI,157500,5519193,633500,23309617
FJ,FIJI,6000,198324,20200,926078
PF,FRENCH POLYNESIA,27500,1141308,72000,2984372
DE,GERMANY,229800,9976058,549800,24621775
IN,INDIA,162000,6443103,339450,14162818
ID,INDONESIA,4564925,154631429,8643025,305011051
IE,IRELAND,140000,5181828,140000,5181828
IL,ISRAEL,485675,19469190,1640725,63544700
JP,JAPAN,1681175,59517659,4013375,144766763
KZ,KAZAKHSTAN,34000,1166649,136000,4872240
KE,KENYA,102000,4763397,102000,4763397
KR,"KOREA,REPUBLIC OF",18600,2000312,24600,2665973
LA,LAO PDR,124000,4076932,316000,10676573
LY,LIBYAN ARAB JAMAHIRIYA,14200,712298,14200,712298
MG,MADAGASCAR,13500,570541,25500,1100773
MY,MALAYSIA,2470000,89097898,5420450,198605348
MV,MALDIVES,0,0,329,62279
MU,MAURITIUS,49175,2487328,163725,8136700
MM,MYANMAR,453000,15547174,838000,29279749
NL,NETHERLANDS,68000,3197007,90000,4220999
NZ,NEW ZEALAND,536750,19857627,1243700,47985551
NG,NIGERIA,306000,6743016,782000,17550992
PK,PAKISTAN,9500,449799,36400,1788310
PG,PAPUA NEW GUINEA,0,0,28400,1539520
PH,PHILIPPINES,160500,5332728,340500,12326701
PL,POLAND,161500,6326292,161500,6326292
RE,REUNION,27000,1173078,68200,3210286
RU,RUSSIAN FEDERATION,158400,5767546,316000,11793844
SN,SENEGAL,97300,4160744,164800,7164401
ZA,SOUTH AFRICA,34000,1107782,115500,4088149
LK,SRI LANKA,18000,611153,49500,1816451
SE,SWEDEN,0,0,47925,2367822
TW,"TAIWAN, PROVINCE OF CHINA",124200,5882053,148200,6802035
TR,TÜRKIYE,14100,680511,28175,1405485
UA,UKRAINE,156800,5954771,554900,21575804
AE,UNITED ARAB EMIRATES,246300,9182693,581050,22693244
GB,UNITED KINGDOM,35000,1256714,35000,1256714
VN,VIETNAM,5762950,191670483,12785025,423474798
SUM,SUM,68150180,2378328050,132513674,4700152645
