"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'FOB (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,5005,440808
BD,BANGLADESH,0,0,32000,1094533
KH,CAMBODIA,0,0,4000,232176
CN,CHINA,0,0,2419079,131960933
GH,GHANA,0,0,1000,81671
IN,INDIA,0,0,92980,5191391
ID,INDONESIA,0,0,48725,4329636
JP,JAPAN,19800,1806451,70025,5700936
KE,KENYA,0,0,96000,3383776
KR,"KOREA,REPUBLIC OF",0,0,125,13400
MY,MALAYSIA,319,37957,19473,1777478
MM,MYANMAR,0,0,3400,206066
NZ,NEW ZEALAND,0,0,20625,1469970
PK,PAKISTAN,0,0,16000,612174
SG,SINGAPORE,2000,123807,8000,540355
LK,SRI LANKA,0,0,111,25685
TW,"TAIWAN, PROVINCE OF CHINA",0,0,14275,543868
VN,VIETNAM,0,0,12350,1037928
SUM,SUM,22119,1968215,2863173,158642784
