"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,6000,640913
CN,CHINA,0,0,17550,8317606
HK,HONG KONG,72000,2978067,85750,3957026
IN,INDIA,0,0,23600,3021627
ID,INDONESIA,52400,2275207,104650,8380816
JP,JAPAN,0,0,181800,10326271
KR,"KOREA,REPUBLIC OF",5000,868471,149000,17137840
LA,LAO PDR,0,0,21500,910000
MY,MALAYSIA,0,0,100,4403
PK,PAKISTAN,55100,5011242,84800,7034343
PH,PHILIPPINES,14200,848462,210200,12628047
SG,SINGAPORE,0,0,22500,3075319
TW,"TAIWAN, PROVINCE OF CHINA",3000,364109,3000,364109
US,UNITED STATES,0,0,19600,1127946
VN,VIETNAM,9675,505416,493675,27847309
SUM,SUM,211375,12850974,1423725,104773575
