"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'FOB (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'FOB (Baht)')"
AU,AUSTRALIA,16000,2150617,64000,8440664
CN,CHINA,1033000,13595208,6641025,75361329
ID,INDONESIA,1500,109126,3034,208859
JP,JAPAN,102000,4461183,583600,24013942
KR,"KOREA,REPUBLIC OF",6000,421429,18200,1254615
MY,MALAYSIA,0,0,900,97730
TR,TÜRKIYE,0,0,33000,2275020
VN,VIETNAM,29700,2345077,110000,8173696
SUM,SUM,1188200,23082640,7453759,119825855
