"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'FOB (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,54000,7750950
BD,BANGLADESH,0,0,1000,54553
CN,CHINA,778250,18157430,3710471,85023995
ID,INDONESIA,0,0,6975,512052
JP,JAPAN,67800,3650350,788610,33446703
KR,"KOREA,REPUBLIC OF",75,10055,175,15751
LA,LAO PDR,10925,464111,34650,1476682
MY,MALAYSIA,0,0,1500,142343
PK,PAKISTAN,0,0,200,73321
VN,VIETNAM,0,0,2200,199804
SUM,SUM,857050,22281946,4599781,128696154
