"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'FOB (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'FOB (Baht)')"
DZ,ALGERIA,288000,14619987,288000,14619987
AO,ANGOLA,531750,21360652,894000,35565268
AR,ARGENTINA,168950,9016929,484850,25710469
AU,AUSTRALIA,1263180,51233643,2523190,101278501
AT,AUSTRIA,1375,72124,1375,72124
BD,BANGLADESH,2037000,81568431,5546250,221837161
BR,BRAZIL,5047500,199757813,6835300,272962967
KH,CAMBODIA,106000,3937464,386400,14883747
CM,CAMEROON,103500,3920865,103500,3920865
CA,CANADA,601500,25512883,937500,38814585
CL,CHILE,151500,7105658,199500,9198354
CN,CHINA,8834851,330307733,24506301,895023324
CG,CONGO,724500,27837209,1206000,47566341
CI,COTE D IVOIRE,276000,11607991,414000,17194329
DJ,DJIBOUTI,0,0,49500,1888508
EC,ECUADOR,25500,984068,433500,17814264
EG,EGYPT,1055250,43625044,1366250,54739556
SV,EL SALVADOR,0,0,207875,7419200
FJ,FIJI,0,0,218250,8850075
FR,FRANCE,0,0,1500,59606
PF,FRENCH POLYNESIA,30000,1166632,60000,2177055
DE,GERMANY,0,0,3100,92310
GH,GHANA,517500,19682051,981750,37405039
GN,GUINEA,172500,6553921,379500,14409322
HK,HONG KONG,67625,2688756,103375,4407062
IN,INDIA,5283803,210681190,13672632,512735416
ID,INDONESIA,4564450,204130231,13506350,579959902
IL,ISRAEL,648000,26597376,1174500,46542388
IT,ITALY,0,0,3000,119212
JP,JAPAN,2500275,109147306,6192735,258683229
KE,KENYA,379250,14343952,569200,21905277
KR,"KOREA,REPUBLIC OF",51000,2188888,146550,6016834
LA,LAO PDR,27726,1217506,106596,4498167
MY,MALAYSIA,790525,33013125,2771500,111707807
MU,MAURITIUS,16500,807143,188250,7528372
MX,MEXICO,1663500,62124636,3630000,119407478
MZ,MOZAMBIQUE,69000,2593308,293250,11298078
MM,MYANMAR,83000,3290465,117000,4627660
NL,NETHERLANDS,0,0,408000,17120919
NZ,NEW ZEALAND,241750,9969429,530250,20943781
NG,NIGERIA,1479750,59140420,2806750,108084788
OM,OMAN,48000,2112569,96000,4039427
PK,PAKISTAN,1942125,87148839,3955275,188266687
PH,PHILIPPINES,3131049,130962225,6495824,272836347
PT,PORTUGAL,0,0,16500,696736
RU,RUSSIAN FEDERATION,0,0,34000,1375622
SA,SAUDI ARABIA,192000,9360602,192000,9360602
SN,SENEGAL,0,0,137500,5438979
SL,SIERRA LEONE,0,0,103500,3780579
ZA,SOUTH AFRICA,974000,58965481,2794075,169132237
LK,SRI LANKA,153000,6055431,439000,17648513
TW,"TAIWAN, PROVINCE OF CHINA",58252,3843237,212303,13613565
TZ,TANZANIA UNITED REPUBLIC OF,614250,24478276,873000,34563575
TG,TOGO,69000,2606132,120750,4658988
TR,TÜRKIYE,1666000,75016870,2233000,98003806
AE,UNITED ARAB EMIRATES,72000,3351370,240000,10338978
US,UNITED STATES,2885925,118452296,4322325,167230110
VN,VIETNAM,2342372,96796538,7207496,286803405
SUM,SUM,53950483,2220954695,123719877,4966877483
