"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
AU,AUSTRALIA,429350,23297859,3147430,164712599
BD,BANGLADESH,66500,3463511,794000,39310010
BE,BELGIUM,616500,35437605,936000,55845196
CN,CHINA,37206430,2691566546,222089060,14048951440
FJ,FIJI,16500,911847,53500,2605949
FR,FRANCE,0,0,99000,5194639
HK,HONG KONG,19800,1906770,84600,8024667
IN,INDIA,1713950,145463420,11962760,765310605
ID,INDONESIA,7190270,393071737,33725075,1705420433
JP,JAPAN,7343800,411239173,32915600,1808917746
KZ,KAZAKHSTAN,0,0,79000,4155264
KR,"KOREA,REPUBLIC OF",435800,39107089,2650700,210622050
MY,MALAYSIA,959800,57097883,7160475,365664270
MM,MYANMAR,281000,13928994,1164450,53713261
NZ,NEW ZEALAND,126000,8109511,1275980,67785115
PK,PAKISTAN,0,0,431500,24622109
PH,PHILIPPINES,662075,35715688,4300325,203875617
PT,PORTUGAL,66000,3514756,492000,25973162
RE,REUNION,0,0,2000,99280
RU,RUSSIAN FEDERATION,175000,9851967,276500,14776015
SG,SINGAPORE,223500,19603074,924125,69769089
ZA,SOUTH AFRICA,0,0,16500,684841
ES,SPAIN,0,0,50,2201
LK,SRI LANKA,127500,6431132,292000,14344425
TW,"TAIWAN, PROVINCE OF CHINA",747200,47472425,3653300,206604776
TR,TÜRKIYE,0,0,1017500,44748772
AE,UNITED ARAB EMIRATES,0,0,1000,48897
US,UNITED STATES,58350,4860977,123309,9814514
VN,VIETNAM,1386225,80408853,8603040,528262796
SUM,SUM,59851550,4032460817,338270779,20449859738
