"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'FOB (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'FOB (Baht)')"
AR,ARGENTINA,0,15,677350,51500085
AU,AUSTRALIA,0,0,2300,398812
BR,BRAZIL,0,0,100,10577
CN,CHINA,0,0,7750,733426
DE,GERMANY,100,5982,100,5982
IN,INDIA,0,0,5000,457761
ID,INDONESIA,16000,1062919,295275,20032281
JP,JAPAN,3575,349128,63199,5394253
KR,"KOREA,REPUBLIC OF",500,9502,925,24411
LA,LAO PDR,0,0,650,56550
MY,MALAYSIA,1600,188294,1900,214454
PK,PAKISTAN,0,0,2500,290075
SG,SINGAPORE,0,0,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,0,238,82600
VN,VIETNAM,97525,6045382,565875,36080236
SUM,SUM,119300,7661222,1625162,115593049
