"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,17000,703951
AR,ARGENTINA,71100,5594285,717250,55645027
AU,AUSTRALIA,140140,5574973,1746665,75500582
BD,BANGLADESH,508500,23484272,4121995,187824841
BE,BELGIUM,140000,11058390,576000,43761690
BR,BRAZIL,440000,17450119,1159700,49742382
KH,CAMBODIA,348500,13054975,1642410,65562721
CN,CHINA,3249850,121059037,30404656,1233595054
CO,COLOMBIA,16500,686459,33500,1381939
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",0,0,57000,2598448
DJ,DJIBOUTI,0,0,379500,13935500
EC,ECUADOR,0,0,750,32079
EG,EGYPT,0,0,80,2851
ET,ETHIOPIA,0,0,100,4634
FJ,FIJI,0,0,22000,910622
PF,FRENCH POLYNESIA,0,0,30000,1209228
DE,GERMANY,0,0,3100,63813
GH,GHANA,0,0,48750,1395117
HK,HONG KONG,2294500,83890435,9921733,388583113
IN,INDIA,526300,19733531,4049675,153419640
ID,INDONESIA,8910650,348558938,51557971,2108172793
IL,ISRAEL,0,0,72050,3261296
JP,JAPAN,711859,28866994,3291410,142236589
KE,KENYA,0,0,68000,3078219
KR,"KOREA,REPUBLIC OF",1575,14322,111500,9397626
LA,LAO PDR,46975,1887493,329975,13988059
MG,MADAGASCAR,148500,4559940,1039500,29327200
MW,MALAWI,0,0,81000,2063090
MY,MALAYSIA,1075250,43460184,6114526,258047519
MU,MAURITIUS,41000,1700128,297000,12906973
MX,MEXICO,0,0,41000,1790956
MZ,MOZAMBIQUE,0,0,65000,2153891
MM,MYANMAR,555600,21102565,1591600,61899923
NL,NETHERLANDS,0,0,2000,882557
NZ,NEW ZEALAND,15000,597125,262675,9161894
NG,NIGERIA,0,0,17000,707131
OM,OMAN,0,0,136000,5687473
PK,PAKISTAN,19200,2369195,833700,42947317
PH,PHILIPPINES,339000,13116696,6432450,266910152
PT,PORTUGAL,0,0,6500,285088
RU,RUSSIAN FEDERATION,0,0,25,1156
SG,SINGAPORE,102895,4131845,474896,20109031
ZA,SOUTH AFRICA,146350,11119154,787475,56422623
LK,SRI LANKA,45450,2990628,503500,28548243
CH,SWITZERLAND,800,38400,800,38400
TW,"TAIWAN, PROVINCE OF CHINA",10273,580771,165759,7300405
TZ,TANZANIA UNITED REPUBLIC OF,0,0,24000,1054918
TR,TÜRKIYE,325,34244,104425,3864195
AE,UNITED ARAB EMIRATES,0,0,412500,17196512
US,UNITED STATES,90921,3659767,408376,30702248
VN,VIETNAM,3372150,133214743,10146625,422068188
SUM,SUM,23369163,923589608,140311102,5838084897
