"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'FOB (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'FOB (Baht)')"
CA,CANADA,0,0,800,20205
CN,CHINA,175040,4364266,841750,17530553
HK,HONG KONG,50,4338,850,27650
IN,INDIA,68000,8014514,367200,43531456
ID,INDONESIA,53500,1999575,425623,20201092
JP,JAPAN,0,0,3000,147096
KE,KENYA,0,0,16500,337192
KR,"KOREA,REPUBLIC OF",0,0,6000,632487
MY,MALAYSIA,0,0,1500,189584
MX,MEXICO,24750,1129518,74250,3289214
PK,PAKISTAN,0,0,500,20641
TW,"TAIWAN, PROVINCE OF CHINA",25000,464736,74759,1432143
US,UNITED STATES,0,0,800,56299
VN,VIETNAM,33000,996360,191400,6430439
SUM,SUM,379340,16973307,2004932,93846051
