"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'FOB (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'FOB (Baht)')"
BE,BELGIUM,178800,19029415,178800,19029415
KH,CAMBODIA,27290,4210119,27290,4210119
CN,CHINA,28254,2507453,28254,2507453
GH,GHANA,48750,1249226,48750,1249226
HK,HONG KONG,10,78822,10,78822
IN,INDIA,307675,26680069,307675,26680069
ID,INDONESIA,252950,19266958,252950,19266958
JP,JAPAN,1396,139600,1396,139600
KR,"KOREA,REPUBLIC OF",3000,202567,3000,202567
LA,LAO PDR,118,16206,118,16206
MY,MALAYSIA,25650,2430429,25650,2430429
PK,PAKISTAN,8700,726302,8700,726302
PH,PHILIPPINES,21000,1941997,21000,1941997
SG,SINGAPORE,540,164993,540,164993
LK,SRI LANKA,88,18750,88,18750
TW,"TAIWAN, PROVINCE OF CHINA",48725,4695201,48725,4695201
VN,VIETNAM,45975,2951732,45975,2951732
SUM,SUM,998921,86309839,998921,86309839
