"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'FOB (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'FOB (Baht)')"
AU,AUSTRALIA,685150,25430651,1475760,54490774
CN,CHINA,27983140,1190679272,62554298,2610932557
FJ,FIJI,0,0,15500,477911
HK,HONG KONG,100,4673,64650,3117156
IN,INDIA,919700,39547486,1898900,81140924
ID,INDONESIA,5455210,189753550,10883060,371636993
JP,JAPAN,6874650,254279237,11176600,430521983
KR,"KOREA,REPUBLIC OF",556790,25556453,1309290,56408300
MY,MALAYSIA,354200,15982525,1288990,49108157
NZ,NEW ZEALAND,295500,10722365,532870,19277902
PK,PAKISTAN,40400,1940461,89900,3428151
PH,PHILIPPINES,518150,18165504,1466325,46301623
SG,SINGAPORE,128000,7341176,537200,27408636
LK,SRI LANKA,145750,4963818,262000,9010435
TW,"TAIWAN, PROVINCE OF CHINA",719000,26308164,1553500,54964857
US,UNITED STATES,18750,1760722,92250,7516329
VN,VIETNAM,313950,15017653,902900,44049884
SUM,SUM,45008440,1827453710,96103993,3869792572
