"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
AU,AUSTRALIA,9500,985591,110980,11133911
CN,CHINA,9000,1366887,1405114,41490243
HK,HONG KONG,0,0,20,79
IN,INDIA,0,0,43650,2559142
ID,INDONESIA,0,0,414,336717
LA,LAO PDR,1330,69568,7404,575330
MY,MALAYSIA,1000,90967,3025,255516
NZ,NEW ZEALAND,0,0,675,70644
PH,PHILIPPINES,500,64612,1350,161896
SG,SINGAPORE,0,0,7000,1065106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,36000,1371202
VN,VIETNAM,0,0,6400,694694
SUM,SUM,21330,2577625,1622032,59714480
