"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'FOB (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'FOB (Baht)')"
DZ,ALGERIA,72000,2494266,72000,2494266
AU,AUSTRALIA,568690,19432727,1180348,40720641
BD,BANGLADESH,1008500,37124492,2463000,85943886
BR,BRAZIL,144000,4293693,216000,6470559
KH,CAMBODIA,849975,25345432,1694975,50003856
CN,CHINA,5939560,195436668,18790656,598463839
CO,COLOMBIA,0,0,33000,987852
DJ,DJIBOUTI,568350,17560847,973850,29776824
EC,ECUADOR,0,0,12000,411922
DE,GERMANY,6900,59392,6900,59392
HK,HONG KONG,398000,13473765,1457050,46654281
IN,INDIA,854750,26214126,1802750,56641614
ID,INDONESIA,7075200,222262335,15497324,491957306
IL,ISRAEL,130500,4563240,261000,9064341
JP,JAPAN,368700,13920467,591320,23350049
KR,"KOREA,REPUBLIC OF",300,3618,12300,427278
LA,LAO PDR,75000,2502745,180000,5844767
MY,MALAYSIA,328601,11517583,1168145,40450313
MU,MAURITIUS,66000,2320138,82500,2883632
MM,MYANMAR,51050,2159587,865550,27796294
NZ,NEW ZEALAND,107500,3719183,152500,5275837
OM,OMAN,51000,1546163,102000,3076160
PK,PAKISTAN,490980,14927708,2024480,59713802
PH,PHILIPPINES,1441200,47596179,3961700,126345402
QA,QATAR,48000,1663874,48000,1663874
SA,SAUDI ARABIA,50,2781,50,2781
SG,SINGAPORE,65000,2120372,99000,3149160
ZA,SOUTH AFRICA,12700,632612,13400,689673
LK,SRI LANKA,85000,2870045,161025,5358212
CH,SWITZERLAND,100,3346,100,3346
TW,"TAIWAN, PROVINCE OF CHINA",48025,1610648,105815,3607328
TZ,TANZANIA UNITED REPUBLIC OF,221000,5969380,262000,7351516
TR,TÜRKIYE,7500,538294,21500,1395929
US,UNITED STATES,19625,724225,44750,1666047
VN,VIETNAM,4177500,132476200,12919595,396414714
SUM,SUM,25281256,817086131,67276583,2136116693
