"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'FOB (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'FOB (Baht)')"
CN,CHINA,2000,121334,39825,2267834
HK,HONG KONG,0,0,5025,309502
IN,INDIA,0,0,200,2782
ID,INDONESIA,26000,3760921,165875,22556952
JP,JAPAN,500,34865,5725,428176
LA,LAO PDR,14500,640500,145000,6387000
PH,PHILIPPINES,100,4816,108100,6305712
ZA,SOUTH AFRICA,0,0,6050,430707
US,UNITED STATES,0,0,3175,211185
VN,VIETNAM,108000,5651283,423775,23383514
SUM,SUM,151100,10213719,902750,62283364
