"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'FOB (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'FOB (Baht)')"
AU,AUSTRALIA,48000,2338528,341650,17397282
BD,BANGLADESH,49000,2291652,3959000,188638477
BN,BRUNEI DARUSSALAM,0,0,300,1346
KH,CAMBODIA,0,0,4400,353002
CL,CHILE,0,0,24000,1124461
CN,CHINA,7418600,363530027,60232600,2912933840
IN,INDIA,555000,26422162,18705000,886563831
ID,INDONESIA,53000,2618775,1638000,81342714
JP,JAPAN,0,0,24000,1353489
KR,"KOREA,REPUBLIC OF",0,0,51000,2502420
LA,LAO PDR,0,0,126,242134
MY,MALAYSIA,17000,835288,61350,3071187
NG,NIGERIA,0,0,187000,8673960
PK,PAKISTAN,0,0,339000,16379022
PH,PHILIPPINES,0,0,240750,11910197
SA,SAUDI ARABIA,0,0,24000,1265538
SC,SEYCHELLES,0,0,600,9300
LK,SRI LANKA,0,0,424864,20566978
TW,"TAIWAN, PROVINCE OF CHINA",0,0,72000,3423307
TR,TÜRKIYE,0,0,51000,2476987
US,UNITED STATES,0,0,381523,19587223
VN,VIETNAM,139000,6560593,1248000,60787254
SUM,SUM,8279600,404597025,88010163,4240603949
