"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'FOB (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'FOB (Baht)')"
CN,CHINA,13875,1055191,130900,6252967
HK,HONG KONG,750,54915,2425,180098
ID,INDONESIA,96075,4021960,266400,10972149
JP,JAPAN,300,21360,300,21360
KR,"KOREA,REPUBLIC OF",5000,939869,25000,4706071
PK,PAKISTAN,75,10655,75,10655
PH,PHILIPPINES,32000,2143827,72000,4353653
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2000,259349
VN,VIETNAM,86000,5081891,257500,14182912
SUM,SUM,234075,13329668,756600,40939214
