"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'FOB (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'FOB (Baht)')"
CN,CHINA,0,0,121000,5398280
HK,HONG KONG,275,28297,9600,563882
IN,INDIA,1000,96256,6150,494071
ID,INDONESIA,26125,4087347,264025,38451717
JP,JAPAN,25,8667,1350,128263
LA,LAO PDR,29000,1280500,217500,9802875
PK,PAKISTAN,0,0,4475,251483
PH,PHILIPPINES,0,0,116000,6269184
TW,"TAIWAN, PROVINCE OF CHINA",6000,395097,6000,395097
US,UNITED STATES,450,29766,550,42706
VN,VIETNAM,30000,1526607,474000,23095308
SUM,SUM,92875,7452537,1220650,84892866
