"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'FOB (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'FOB (Baht)')"
AU,AUSTRALIA,10300,1601737,41640,5025982
BD,BANGLADESH,34000,1008389,34000,1008389
CN,CHINA,141210,13112905,182410,16696534
ET,ETHIOPIA,33000,863586,33000,863586
GA,GABON,0,0,17000,488560
DE,GERMANY,0,0,0,1270
IN,INDIA,46550,4659187,133100,15383011
ID,INDONESIA,49460,5204634,107960,11414839
KR,"KOREA,REPUBLIC OF",88725,5427185,89325,5476410
MY,MALAYSIA,65240,6425332,67240,6614097
NZ,NEW ZEALAND,0,0,35000,3594506
PK,PAKISTAN,200,30695,200,30695
PH,PHILIPPINES,0,0,3600,307261
AE,UNITED ARAB EMIRATES,15000,1724594,90000,8999845
VN,VIETNAM,33875,4105068,54325,6666872
SUM,SUM,517560,44163312,888800,82571857
