"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'FOB (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'FOB (Baht)')"
BD,BANGLADESH,34000,1101695,34000,1101695
KH,CAMBODIA,2539,571200,2539,571200
IN,INDIA,16000,728738,16000,728738
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,20060,1195495
JP,JAPAN,607,77557,1072,148355
KR,"KOREA,REPUBLIC OF",66,10114,66,10114
LA,LAO PDR,8542,623100,8582,625500
MY,MALAYSIA,7,3240,7,3240
SG,SINGAPORE,5000,354104,5000,354104
LK,SRI LANKA,0,0,6000,294400
SE,SWEDEN,100,15171,100,15171
CH,SWITZERLAND,133,20228,133,20228
TT,TRINIDAD AND TOBAGO,100,8100,100,8100
VN,VIETNAM,0,0,0,3330
SUM,SUM,67094,3513247,93659,5079670
