"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,787,98130
KH,CAMBODIA,0,0,100,10285
CN,CHINA,2940109,24845448,12981739,107134060
DJ,DJIBOUTI,99200,785285,357377,2802418
DO,DOMINICAN REPUBLIC,0,0,71850,2385048
ET,ETHIOPIA,99200,785285,99200,785285
DE,GERMANY,0,0,30,1408
HK,HONG KONG,55000,435390,55300,449790
IN,INDIA,66000,2251494,858373,22914469
JP,JAPAN,0,0,4,635
KR,"KOREA,REPUBLIC OF",79500,629337,336464,2658991
LA,LAO PDR,67,18317,819,471162
MY,MALAYSIA,0,0,1000,120941
MX,MEXICO,0,0,100,7385
NC,NEW CALEDONIA,0,0,460,38400
PH,PHILIPPINES,0,0,0,61
SN,SENEGAL,0,0,145,825
SG,SINGAPORE,0,0,2400,145282
LK,SRI LANKA,0,0,8000,591182
CH,SWITZERLAND,0,0,0,54
TW,"TAIWAN, PROVINCE OF CHINA",9,2699,24009,274015
TZ,TANZANIA UNITED REPUBLIC OF,0,0,12000,659014
VN,VIETNAM,0,0,83315,2817684
SUM,SUM,3339085,29753255,14893472,144366524
