"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'FOB (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,150,5858
AT,AUSTRIA,0,0,10000,445384
KH,CAMBODIA,120000,5398154,1605000,65203750
CN,CHINA,60000,4345178,161975,11244457
DE,GERMANY,100,35857,100,35857
ID,INDONESIA,0,0,99000,4609434
JP,JAPAN,0,0,1500,86355
KR,"KOREA,REPUBLIC OF",0,0,300,25115
PH,PHILIPPINES,100,4436,100,4436
SUM,SUM,180200,9783625,1878125,81660646
