"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'FOB (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'FOB (Baht)')"
BE,BELGIUM,0,0,24375,1061125
BG,BULGARIA,13000,542641,13000,542641
KH,CAMBODIA,90000,4924176,1455850,81385524
CN,CHINA,500,27775,60514,4234999
FR,FRANCE,0,0,121875,5065638
HK,HONG KONG,0,0,1580,5628
IN,INDIA,330,235262,828261,22188247
ID,INDONESIA,3000,178817,96500,5085772
JP,JAPAN,0,0,2124,120125
LA,LAO PDR,0,0,48450,1660750
MY,MALAYSIA,28901,1728801,95090,5559559
nan,NAMIBIA,0,0,32000,945016
NZ,NEW ZEALAND,0,0,72400,2214846
PK,PAKISTAN,0,0,16000,643040
LK,SRI LANKA,0,0,400,21513
SUM,SUM,135731,7637472,2868419,130734423
