"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'FOB (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'FOB (Baht)')"
AU,AUSTRALIA,111020,8493180,111020,8493180
BD,BANGLADESH,540,87186,540,87186
CN,CHINA,7390903,486365428,7390903,486365428
FJ,FIJI,15400,662713,15400,662713
HK,HONG KONG,62100,4635919,62100,4635919
IN,INDIA,1006120,61642044,1006120,61642044
ID,INDONESIA,280950,21316448,280950,21316448
JP,JAPAN,2764622,175539950,2764622,175539950
KR,"KOREA,REPUBLIC OF",1112940,82372587,1112940,82372587
LA,LAO PDR,29025,875531,29025,875531
MY,MALAYSIA,182100,13868408,182100,13868408
PH,PHILIPPINES,81100,4489380,81100,4489380
SG,SINGAPORE,259800,18639201,259800,18639201
LK,SRI LANKA,18500,448667,18500,448667
TW,"TAIWAN, PROVINCE OF CHINA",243625,14555772,243625,14555772
US,UNITED STATES,20000,1393132,20000,1393132
VN,VIETNAM,476050,36643518,476050,36643518
SUM,SUM,14054795,932029064,14054795,932029064
