"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'FOB (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'FOB (Baht)')"
AR,ARGENTINA,0,0,3900,324689
AU,AUSTRALIA,0,0,490,192389
CN,CHINA,0,0,17000,652352
ID,INDONESIA,43115,2964312,245715,15135498
JP,JAPAN,865,79089,6790,557788
KE,KENYA,0,0,16250,551753
MY,MALAYSIA,0,0,25,3923
PK,PAKISTAN,300,22421,400,29611
TW,"TAIWAN, PROVINCE OF CHINA",0,0,250,17406
VN,VIETNAM,58000,3423517,459120,25986937
SUM,SUM,102280,6489339,749940,43452346
