"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'FOB (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'FOB (Baht)')"
AR,ARGENTINA,81550,6358340,449150,35208955
AU,AUSTRALIA,15000,1328048,90504,9051171
BD,BANGLADESH,0,0,20600,2080744
BE,BELGIUM,0,0,104,2641
CN,CHINA,193000,6656427,1259675,79542941
EG,EGYPT,60000,3956624,149000,9828350
GH,GHANA,48750,1573840,178000,5020704
HK,HONG KONG,0,0,9703,705837
IN,INDIA,215550,20140156,942475,86313927
ID,INDONESIA,135425,12563948,691680,59118137
JP,JAPAN,9075,1009186,297526,8931693
KE,KENYA,0,0,76750,2358669
KR,"KOREA,REPUBLIC OF",0,0,24851,1697583
LA,LAO PDR,0,0,39,19078
MY,MALAYSIA,105600,6518500,493653,34934307
MV,MALDIVES,0,0,6,5000
MM,MYANMAR,0,0,2000,173200
PK,PAKISTAN,16000,640467,32000,1177160
PH,PHILIPPINES,15008,1104955,54818,6000702
PT,PORTUGAL,100,45334,175,52757
SN,SENEGAL,0,0,32000,1107586
SG,SINGAPORE,0,0,74250,3467378
ZA,SOUTH AFRICA,500,83075,500,83075
LK,SRI LANKA,25000,719401,41600,1186248
TW,"TAIWAN, PROVINCE OF CHINA",30885,2476464,125416,11652271
AE,UNITED ARAB EMIRATES,60000,1601169,196000,5156909
US,UNITED STATES,0,0,18000,1498767
VN,VIETNAM,84279,4675212,188905,13320836
SUM,SUM,1095722,71451146,5449380,379696626
