"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2012', 'Quantity')","('Apr 2012', 'FOB (Baht)')","('Jan - Apr 2012', 'Quantity')","('Jan - Apr 2012', 'FOB (Baht)')"
AO,ANGOLA,0,0,1072500,49154302
AR,ARGENTINA,0,0,11000,1004331
AU,AUSTRALIA,324000,20915554,1184275,66514789
BD,BANGLADESH,434025,22383227,1728775,86586364
BR,BRAZIL,0,0,17250,793519
KH,CAMBODIA,0,0,15000,705703
CM,CAMEROON,0,0,33000,1410328
CN,CHINA,5347425,252731685,22854400,1059452338
CO,COLOMBIA,0,0,102000,4649363
CG,CONGO,0,0,347000,14958005
CR,COSTA RICA,0,0,16200,454235
CI,COTE D IVOIRE,0,0,17000,793996
DJ,DJIBOUTI,272000,12380277,476000,21409035
EG,EGYPT,192000,9569356,336000,17858737
ET,ETHIOPIA,0,0,64000,1896930
PF,FRENCH POLYNESIA,0,0,4500,228665
GA,GABON,48600,1385782,48600,1385782
GH,GHANA,16250,475742,307000,13733868
GT,GUATEMALA,0,0,204000,9456841
GN,GUINEA,0,0,373000,16231414
HK,HONG KONG,76300,4182803,323450,17104068
IN,INDIA,844419,45992652,3671919,182074589
ID,INDONESIA,2883850,143147288,6396925,316527418
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,25500,1127957
JP,JAPAN,2970675,142779183,26156025,1214840248
KR,"KOREA,REPUBLIC OF",0,0,1197,60240
LA,LAO PDR,12000,666039,36000,1929819
LR,LIBERIA,0,0,255500,11260708
MY,MALAYSIA,753000,41687982,2212360,115188629
MU,MAURITIUS,0,0,138000,6488260
MX,MEXICO,0,0,100,6211
MZ,MOZAMBIQUE,0,0,166000,7548761
MM,MYANMAR,68250,3396307,68300,3398519
nan,NAMIBIA,0,0,26000,722659
NL,NETHERLANDS,165000,9042108,315000,16122579
NZ,NEW ZEALAND,94000,4687103,455500,21473534
NG,NIGERIA,33000,1713628,459000,21077276
OM,OMAN,0,0,25500,1156042
PK,PAKISTAN,636925,35851019,2466350,134345241
PE,PERU,0,0,102000,4618448
PH,PHILIPPINES,1004000,48952652,4194325,197455703
RU,RUSSIAN FEDERATION,181500,8876252,248000,12083223
SA,SAUDI ARABIA,0,0,50,6105
SN,SENEGAL,0,0,33500,1533503
SG,SINGAPORE,0,0,24780,1305895
ZA,SOUTH AFRICA,309500,19511022,1053300,67796332
LK,SRI LANKA,17000,810397,67000,2778026
TW,"TAIWAN, PROVINCE OF CHINA",17000,1175176,74000,5233327
TR,TÜRKIYE,135000,7398085,842500,41676396
UA,UKRAINE,0,0,510000,24246709
AE,UNITED ARAB EMIRATES,0,0,247700,11063951
GB,UNITED KINGDOM,0,0,2,125
US,UNITED STATES,18000,839868,296500,13331460
VN,VIETNAM,590095,30232584,5532970,267003326
SUM,SUM,17443814,870783771,85636753,4091263832
