"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'FOB (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'FOB (Baht)')"
AU,AUSTRALIA,49200,3991280,49200,3991280
CN,CHINA,95995920,345705645,95995920,345705645
DK,DENMARK,3,292,3,292
HK,HONG KONG,350,55052,350,55052
IN,INDIA,293851,12006542,293851,12006542
ID,INDONESIA,87035,4203286,87035,4203286
JP,JAPAN,40914,2061185,40914,2061185
KR,"KOREA,REPUBLIC OF",522,34102,522,34102
LA,LAO PDR,400,155957,400,155957
MY,MALAYSIA,41450,3265729,41450,3265729
MU,MAURITIUS,1000,166942,1000,166942
MM,MYANMAR,10001,364395,10001,364395
NZ,NEW ZEALAND,21700,1664211,21700,1664211
ZA,SOUTH AFRICA,4000,733465,4000,733465
TW,"TAIWAN, PROVINCE OF CHINA",96080,3794954,96080,3794954
US,UNITED STATES,7,648,7,648
VN,VIETNAM,113665,4644682,113665,4644682
SUM,SUM,96756098,382848367,96756098,382848367
