"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'FOB (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'FOB (Baht)')"
CN,CHINA,130000,2556675,205421,4427223
DE,GERMANY,0,0,7,551
IN,INDIA,128000,5351600,245000,10490659
ID,INDONESIA,59,85185,236,335503
JP,JAPAN,59,4722,59,4722
KR,"KOREA,REPUBLIC OF",166,195,166,195
LA,LAO PDR,18584,1647410,29955,2761426
MY,MALAYSIA,0,0,0,327
MM,MYANMAR,256,106000,256,106000
ZA,SOUTH AFRICA,52,14953,52,14953
SUM,SUM,277176,9766740,481152,18141559
