"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
BH,BAHRAIN,0,0,102000,3747035
CA,CANADA,24000,994171,48000,1913371
CN,CHINA,0,0,216250,5736626
IN,INDIA,0,0,268,163774
MY,MALAYSIA,0,0,25600,763034
MM,MYANMAR,0,0,36000,954478
NZ,NEW ZEALAND,0,0,48450,2159808
ZA,SOUTH AFRICA,184200,10770340,510200,22680620
TW,"TAIWAN, PROVINCE OF CHINA",0,0,51000,1904579
AE,UNITED ARAB EMIRATES,0,0,51000,1829512
SUM,SUM,208200,11764511,1088768,41852837
