"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'FOB (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'FOB (Baht)')"
CN,CHINA,0,0,102000,4816023
DE,GERMANY,0,0,5000,801754
HK,HONG KONG,0,0,33400,2213387
ID,INDONESIA,16000,1244285,81000,4739069
JP,JAPAN,0,0,18850,940249
KE,KENYA,0,0,32500,971307
KR,"KOREA,REPUBLIC OF",0,0,50,4196
MY,MALAYSIA,0,0,30000,2122800
RU,RUSSIAN FEDERATION,0,0,1500,72573
SUM,SUM,16000,1244285,304300,16681358
