"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AU,AUSTRALIA,12000,1513740,12000,1513740
BD,BANGLADESH,50750,4965144,50750,4965144
BE,BELGIUM,156000,17255745,156000,17255745
KH,CAMBODIA,0,12698,0,12698
CN,CHINA,190027,17097116,190027,17097116
HK,HONG KONG,5000,479791,5000,479791
IN,INDIA,251075,22478044,251075,22478044
ID,INDONESIA,114525,11401752,114525,11401752
JP,JAPAN,67836,5968867,67836,5968867
LA,LAO PDR,105,22750,105,22750
MY,MALAYSIA,25475,2973559,25475,2973559
MM,MYANMAR,1088,77818,1088,77818
PH,PHILIPPINES,118,50917,118,50917
ZA,SOUTH AFRICA,1000,106910,1000,106910
LK,SRI LANKA,1467,32286,1467,32286
TW,"TAIWAN, PROVINCE OF CHINA",27000,3860412,27000,3860412
AE,UNITED ARAB EMIRATES,24175,1916966,24175,1916966
VN,VIETNAM,42050,3585854,42050,3585854
SUM,SUM,969691,93800369,969691,93800369
