"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'FOB (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'FOB (Baht)')"
ID,INDONESIA,0,0,66000,3216902
JP,JAPAN,0,0,45,13
SUM,SUM,0,0,66045,3216915
