"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'FOB (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,150,5858
AT,AUSTRIA,0,0,10000,445384
KH,CAMBODIA,75000,3217177,1680000,68420927
CN,CHINA,0,0,161975,11244457
DE,GERMANY,0,0,100,35857
ID,INDONESIA,0,0,99000,4609434
JP,JAPAN,0,0,1500,86355
KR,"KOREA,REPUBLIC OF",50,1523,350,26638
PH,PHILIPPINES,0,0,100,4436
SUM,SUM,75050,3218700,1953175,84879346
