"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2019', 'Quantity')","('Feb 2019', 'FOB (Baht)')","('Jan - Feb 2019', 'Quantity')","('Jan - Feb 2019', 'FOB (Baht)')"
BD,BANGLADESH,17000,786685,595000,28369080
CN,CHINA,7909700,377005200,16186700,783811379
IN,INDIA,965000,44692314,1897500,89444935
ID,INDONESIA,137000,6529230,204000,9848175
JP,JAPAN,12000,712380,12000,712380
LA,LAO PDR,0,0,18,41810
MY,MALAYSIA,18000,862394,19050,916732
PK,PAKISTAN,17000,798490,50000,2420659
PH,PHILIPPINES,0,0,12500,965278
SG,SINGAPORE,15000,757409,15000,757409
TW,"TAIWAN, PROVINCE OF CHINA",1000,58364,1000,58364
AE,UNITED ARAB EMIRATES,0,0,150,75416
US,UNITED STATES,0,0,30000,1508316
VN,VIETNAM,146000,6974143,163195,7854564
SUM,SUM,9237700,439176609,19186113,926784497
