"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'FOB (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,5000,437529
CN,CHINA,401165,22010667,1606694,88444982
IN,INDIA,100,19020,91980,5040487
ID,INDONESIA,25,2507,44725,3909281
JP,JAPAN,19800,1775854,50225,3894485
KE,KENYA,13000,481021,36000,1232809
MY,MALAYSIA,0,0,18752,1693118
MM,MYANMAR,0,0,3350,206038
NZ,NEW ZEALAND,0,0,20625,1469970
PK,PAKISTAN,0,0,16000,612174
SG,SINGAPORE,0,0,6000,416548
LK,SRI LANKA,0,0,11,32
TW,"TAIWAN, PROVINCE OF CHINA",12500,300847,14275,543868
VN,VIETNAM,50,3677,12350,1037928
SUM,SUM,446640,24593593,1925987,108939249
