"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'FOB (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'FOB (Baht)')"
AU,AUSTRALIA,214200,16354594,1924600,150124608
AT,AUSTRIA,0,0,0,4
BD,BANGLADESH,0,0,2009069,122796477
BE,BELGIUM,39600,3659424,6415910,405809042
KH,CAMBODIA,14000,592670,42000,1967726
CA,CANADA,0,0,1875,10806
CN,CHINA,10687865,666509384,122644437,7501932373
ET,ETHIOPIA,0,0,170000,5031262
FJ,FIJI,0,0,32600,1771169
FR,FRANCE,0,0,1296,115382
GA,GABON,0,0,17000,526858
DE,GERMANY,59407,3840320,59557,3846938
GH,GHANA,0,0,99500,3389338
HK,HONG KONG,144200,9957532,1742134,112500108
IN,INDIA,897695,52006459,17572775,857120900
ID,INDONESIA,368580,25834591,4338443,282291404
JP,JAPAN,2734231,171143989,31729437,1952252590
KE,KENYA,13000,448736,89650,3111762
KR,"KOREA,REPUBLIC OF",1362500,95863002,21643020,1458393868
LA,LAO PDR,0,0,383477,10874962
MY,MALAYSIA,136900,10313759,1661305,112297426
MV,MALDIVES,0,0,65000,2366717
MU,MAURITIUS,0,0,34000,974668
MM,MYANMAR,25200,1357056,25482,1383064
NL,NETHERLANDS,0,0,792013,65988070
NZ,NEW ZEALAND,71650,5686904,289960,22855941
PK,PAKISTAN,19800,1174724,51975,3162041
PE,PERU,550,39402,17550,697263
PH,PHILIPPINES,48400,3402647,8311250,441205221
PT,PORTUGAL,0,0,100,25067
RU,RUSSIAN FEDERATION,0,0,3510,683484
SA,SAUDI ARABIA,0,0,1375,89655
SG,SINGAPORE,214401,15139355,1987401,132076054
ES,SPAIN,0,0,2790,201495
LK,SRI LANKA,33850,1727310,267277,13498665
CH,SWITZERLAND,0,0,750,3201
TW,"TAIWAN, PROVINCE OF CHINA",422564,26634138,5016785,311501412
TZ,TANZANIA UNITED REPUBLIC OF,0,0,204000,6681753
AE,UNITED ARAB EMIRATES,0,0,30038,866858
GB,UNITED KINGDOM,2500,103391,2500,106885
US,UNITED STATES,79400,6544455,2372275,170765193
UY,URUGUAY,0,0,22500,1421479
VN,VIETNAM,641700,45692226,4649742,326398806
SUM,SUM,18232193,1164026068,236726358,14489117995
