"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'FOB (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'FOB (Baht)')"
CN,CHINA,0,0,251625,10455362
HK,HONG KONG,0,0,168000,6790348
IN,INDIA,0,0,130000,6129254
ID,INDONESIA,40800,2076963,869166,41452825
JP,JAPAN,25,4487,28825,1507085
MX,MEXICO,15000,690812,60000,2843748
PK,PAKISTAN,0,0,2850,332461
PH,PHILIPPINES,0,0,16000,1223199
SG,SINGAPORE,300,11995,300,11995
VN,VIETNAM,82500,3651301,582500,27307225
SUM,SUM,138625,6435558,2109266,98053502
