"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'FOB (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,200,14396
KH,CAMBODIA,0,0,500,26500
CN,CHINA,77476,1456165,83676,1741352
ID,INDONESIA,0,0,100,6602
JP,JAPAN,13200,506369,52803,4341001
KR,"KOREA,REPUBLIC OF",50,3118,190,16225
LA,LAO PDR,2000,89952,16500,764576
LK,SRI LANKA,0,0,225,5911
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20000,1588286
VN,VIETNAM,0,0,1100,103206
SUM,SUM,92726,2055604,175294,8608055
