"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'FOB (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'FOB (Baht)')"
AR,ARGENTINA,1400,90117,176600,11248311
AU,AUSTRALIA,0,0,6204,1208926
BD,BANGLADESH,355000,10925802,976000,32379593
BR,BRAZIL,54000,3241998,151500,8143139
KH,CAMBODIA,353048,12343270,706513,23924366
CA,CANADA,300,9049,300,9049
CN,CHINA,5223442,66827086,11988233,163782011
CI,COTE D IVOIRE,42000,1260777,42000,1260777
DJ,DJIBOUTI,0,0,532000,3996266
FJ,FIJI,0,0,16000,404720
PF,FRENCH POLYNESIA,0,0,30000,968919
DE,GERMANY,0,0,74,1985
GH,GHANA,48750,1040273,48750,1040273
HK,HONG KONG,24003,813594,72203,2933546
IN,INDIA,754900,28283414,2677197,100171633
ID,INDONESIA,3568595,111279938,12571005,401738763
JP,JAPAN,920409,31475012,2398837,79886846
KE,KENYA,0,0,50000,1216854
KR,"KOREA,REPUBLIC OF",2325,48452,5227,181749
LA,LAO PDR,2500,81313,72500,2602268
MY,MALAYSIA,412133,14494576,1417301,50493645
MU,MAURITIUS,34000,1172755,34000,1172755
MM,MYANMAR,123550,3838431,350050,11179062
NZ,NEW ZEALAND,0,0,8000,258950
PK,PAKISTAN,43050,1924481,158550,6968986
PH,PHILIPPINES,1473621,50240151,2326467,82316684
PL,POLAND,114900,2417943,390660,7968093
RO,ROMANIA,12000,756033,36000,2265678
SG,SINGAPORE,85000,2873386,212500,7233967
SI,SLOVENIA,207620,5762606,346210,9529288
ZA,SOUTH AFRICA,40675,2719542,166275,10117815
LK,SRI LANKA,17000,587491,100020,7085920
CH,SWITZERLAND,0,0,27,41
TW,"TAIWAN, PROVINCE OF CHINA",1093,68611,4811,464533
TZ,TANZANIA UNITED REPUBLIC OF,0,0,159250,3356495
TG,TOGO,32500,719129,32500,719129
TR,TÜRKIYE,0,0,50,1682
US,UNITED STATES,93750,13488012,357702,45402010
VN,VIETNAM,311925,11481506,1004230,38768884
ZM,ZAMBIA,0,0,128000,2802564
SUM,SUM,14353489,380264748,39753746,1125206175
