"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'FOB (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'FOB (Baht)')"
KH,CAMBODIA,343,117000,343,117000
CN,CHINA,32,2900,32,2900
IN,INDIA,64000,2800751,64000,2800751
JP,JAPAN,66,10114,66,10114
KE,KENYA,30000,2017186,30000,2017186
LA,LAO PDR,7503,861790,7503,861790
MY,MALAYSIA,82,115383,82,115383
SG,SINGAPORE,4500,305265,4500,305265
TW,"TAIWAN, PROVINCE OF CHINA",16400,1250935,16400,1250935
AE,UNITED ARAB EMIRATES,33,5057,33,5057
GB,UNITED KINGDOM,232,35399,232,35399
SUM,SUM,123191,7521780,123191,7521780
