"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'FOB (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,5000,382606
BD,BANGLADESH,0,0,80000,2741352
KH,CAMBODIA,0,0,11500,614520
CN,CHINA,0,0,984845,48801825
ET,ETHIOPIA,0,0,102000,3059787
GH,GHANA,0,0,16000,526765
IN,INDIA,0,0,34990,983456
ID,INDONESIA,200,24760,200,24760
JP,JAPAN,0,0,41700,4063772
KR,"KOREA,REPUBLIC OF",0,0,215,31712
LA,LAO PDR,5000,237754,24000,933285
MY,MALAYSIA,100,19374,127150,3558393
MM,MYANMAR,0,0,84600,857335
NZ,NEW ZEALAND,0,0,5925,385703
SG,SINGAPORE,0,0,5000,275023
LK,SRI LANKA,0,0,9,5040
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12500,314681
TZ,TANZANIA UNITED REPUBLIC OF,0,0,33000,1056362
TR,TÜRKIYE,0,0,10000,663793
VN,VIETNAM,1100,104045,1100,104045
SUM,SUM,6400,385933,1579734,69384215
