"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
BD,BANGLADESH,0,0,32500,704042
BN,BRUNEI DARUSSALAM,0,0,20025,742955
CN,CHINA,0,0,6225,334950
IN,INDIA,0,0,48000,2306808
JP,JAPAN,635,112594,903,132512
LA,LAO PDR,0,0,24150,741710
MY,MALAYSIA,0,0,50025,1370202
PG,PAPUA NEW GUINEA,14,4594,26,8602
ES,SPAIN,0,0,16,418
TR,TÜRKIYE,12000,873051,54600,4009952
GB,UNITED KINGDOM,0,0,20,619
US,UNITED STATES,27750,2039859,32375,2392073
VN,VIETNAM,95000,3160290,323003,11442462
SUM,SUM,135399,6190388,591868,24187305
