"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'FOB (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'FOB (Baht)')"
BE,BELGIUM,0,0,8,725
KH,CAMBODIA,0,0,872,297000
CN,CHINA,0,0,64,5800
DE,GERMANY,0,0,2587,60992
HK,HONG KONG,66,14573,529,75736
IN,INDIA,96000,4268056,789300,34529140
ID,INDONESIA,0,0,50,3397
JP,JAPAN,1033,53356,1571,114817
KE,KENYA,15000,990389,90000,5974129
LA,LAO PDR,6150,572332,55906,4032992
MY,MALAYSIA,75,101645,299,412704
NG,NIGERIA,0,0,30000,2058190
NO,NORWAY,0,0,50,7585
PH,PHILIPPINES,0,0,25,1330
SG,SINGAPORE,0,0,24559,1675529
LK,SRI LANKA,0,0,10000,536390
CH,SWITZERLAND,0,0,3,0
TW,"TAIWAN, PROVINCE OF CHINA",0,0,49200,3689228
AE,UNITED ARAB EMIRATES,0,0,66,10114
GB,UNITED KINGDOM,0,0,232,35399
SUM,SUM,118324,6000351,1055321,53521197
