"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'FOB (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'FOB (Baht)')"
DZ,ALGERIA,0,0,713000,42137048
AO,ANGOLA,69600,4369774,418300,23995873
AU,AUSTRALIA,929500,50754211,4478850,241564099
BD,BANGLADESH,85200,4683560,1421300,72535708
BE,BELGIUM,264000,14045073,2212525,114948802
BJ,BENIN,0,0,17600,939330
BR,BRAZIL,392600,20223066,3609900,178510178
BN,BRUNEI DARUSSALAM,2000,103935,6000,311229
BG,BULGARIA,0,0,34500,1770765
KH,CAMBODIA,399000,23061241,2468325,137136379
CM,CAMEROON,0,0,36000,1779635
CN,CHINA,14250175,746164453,92606505,4726667059
CG,CONGO,0,0,50000,2536911
CI,COTE D IVOIRE,162000,7996565,2592000,127312395
DK,DENMARK,0,0,136000,6818913
DJ,DJIBOUTI,126000,6354346,270000,13461618
EC,ECUADOR,0,0,156000,8122180
FJ,FIJI,62425,3852483,140350,8734845
FI,FINLAND,48000,2802810,628000,35080719
FR,FRANCE,192000,9724782,1310000,70464593
PF,FRENCH POLYNESIA,27000,1606462,135000,7706548
GA,GABON,0,0,27700,1616752
GM,GAMBIA,0,0,28000,1635477
DE,GERMANY,260000,15731247,1348000,80406088
GH,GHANA,384000,19534597,2832000,138811110
GR,GREECE,0,0,431975,24228171
IN,INDIA,305100,18009608,4925975,253689025
ID,INDONESIA,1605620,84475553,37845235,1953893532
IL,ISRAEL,291025,17630759,5594299,306062610
JM,JAMAICA,0,0,25500,1513950
JP,JAPAN,1024725,54330223,6980749,366904749
KZ,KAZAKHSTAN,54000,2782926,90000,4592572
KE,KENYA,209000,11268403,431100,23608275
KR,"KOREA,REPUBLIC OF",30000,3479920,64125,7348420
LA,LAO PDR,42000,2222475,193000,10102169
LV,LATVIA,0,0,56800,3386969
LB,LEBANON,70400,3859264,70400,3859264
LR,LIBERIA,0,0,62900,3322745
LY,LIBYAN ARAB JAMAHIRIYA,120000,7263145,490800,29560368
LT,LITHUANIA,17600,953716,105300,5608230
MG,MADAGASCAR,0,0,85000,4828073
MY,MALAYSIA,948600,50731477,7236650,383551467
MV,MALDIVES,0,0,35200,1822024
ML,MALI,0,0,108000,6094434
MU,MAURITIUS,116000,6540853,498900,28198848
MZ,MOZAMBIQUE,63600,3669725,703400,39048254
MM,MYANMAR,27000,1602575,246675,14575152
NL,NETHERLANDS,0,0,177500,10287135
NC,NEW CALEDONIA,13750,814907,175750,9421352
NZ,NEW ZEALAND,119225,6665317,1853875,104414280
OM,OMAN,52800,2930383,264000,13984773
PK,PAKISTAN,4000,435315,360000,18984258
PG,PAPUA NEW GUINEA,18000,927642,180800,11206901
PE,PERU,0,0,188500,9627166
PH,PHILIPPINES,427500,22739211,3331925,174630809
PL,POLAND,332500,18430060,1198175,67653658
PT,PORTUGAL,0,0,799500,40660604
RE,REUNION,27000,1582435,255000,14680808
RO,ROMANIA,0,0,384000,21193146
RU,RUSSIAN FEDERATION,359800,19345490,2995800,157862732
SN,SENEGAL,14200,859228,167900,9403228
SL,SIERRA LEONE,13500,775853,40500,2325293
SG,SINGAPORE,13000,696536,59875,3254823
SI,SLOVENIA,0,0,184500,9526181
SB,SOLOMON ISLANDS,0,0,2500,127380
ZA,SOUTH AFRICA,157500,8500405,1191570,61979422
ES,SPAIN,0,0,523500,27273274
LK,SRI LANKA,27000,1536552,691400,36610491
SD,SUDAN,89900,5098875,534775,30103101
SE,SWEDEN,24000,1470522,624000,35636533
TW,"TAIWAN, PROVINCE OF CHINA",82000,4778966,215075,12030008
TZ,TANZANIA UNITED REPUBLIC OF,56800,3458687,461600,24559336
TG,TOGO,468000,23491085,1764000,87102025
TR,TÜRKIYE,101900,6082302,1279300,70828163
UA,UKRAINE,87200,4919020,1223525,66004612
AE,UNITED ARAB EMIRATES,676400,34547014,3146700,160975107
GB,UNITED KINGDOM,70000,3954010,111875,6246165
VN,VIETNAM,1109450,60053694,7905835,412843277
SUM,SUM,26923595,1433922736,216251093,11232239596
