"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'FOB (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,116000,3691811
CN,CHINA,0,0,76000,5920591
IN,INDIA,0,0,1390595,103492402
ID,INDONESIA,22000,2496689,67000,6522593
JP,JAPAN,0,0,5687,506719
MY,MALAYSIA,0,0,34500,3703302
MM,MYANMAR,0,0,29,63800
PH,PHILIPPINES,13450,746436,300595,19680368
VN,VIETNAM,0,0,200,5757
SUM,SUM,35450,3243125,1990606,143587343
