"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
AU,AUSTRALIA,24000,1467175,26400,1631398
BD,BANGLADESH,0,0,2500,155026
BN,BRUNEI DARUSSALAM,0,0,16000,882125
KH,CAMBODIA,1500,98699,2000,137228
CN,CHINA,0,0,700,24341
DE,GERMANY,0,0,1,160
HK,HONG KONG,0,0,2794,213208
IN,INDIA,0,0,12049,846136
ID,INDONESIA,334000,18626867,4079700,213931798
JP,JAPAN,0,0,27385,3178096
KR,"KOREA,REPUBLIC OF",0,0,24100,1353445
MY,MALAYSIA,0,0,80100,6699923
PH,PHILIPPINES,30,1925,30,1925
SG,SINGAPORE,0,0,2,80
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2850,122531
US,UNITED STATES,0,0,2005,288167
VN,VIETNAM,16650,476166,141650,3897385
SUM,SUM,376180,20670832,4420266,233362972
