"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'FOB (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,15,10069
KH,CAMBODIA,0,0,10672,167523
CN,CHINA,0,0,26577,653745
IN,INDIA,144000,6302552,570000,24012029
ID,INDONESIA,130,229061,376,682029
IE,IRELAND,0,0,7,13185
IT,ITALY,0,0,38,5057
JP,JAPAN,0,0,299,40460
LA,LAO PDR,0,0,1300,140923
MY,MALAYSIA,0,0,41,1392
MM,MYANMAR,0,0,2000,50000
NO,NORWAY,0,0,77,10146
SG,SINGAPORE,1000,64501,2000,124288
LK,SRI LANKA,0,0,24750,1032637
SE,SWEDEN,0,4,0,4
CH,SWITZERLAND,0,0,75,10114
TW,"TAIWAN, PROVINCE OF CHINA",0,0,224,30342
VN,VIETNAM,300,215220,300,215220
SUM,SUM,145430,6811338,638751,27199163
