"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'FOB (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'FOB (Baht)')"
AU,AUSTRALIA,791640,31187778,2299870,92612383
BD,BANGLADESH,309000,12327689,1376400,58842588
BR,BRAZIL,204000,7770718,360000,14314075
KH,CAMBODIA,126500,7078952,167975,9105346
CN,CHINA,5213275,206705013,19053100,809963553
CI,COTE D IVOIRE,0,0,34000,1553989
ET,ETHIOPIA,51000,2308705,51000,2308705
HK,HONG KONG,125,7873,18625,830257
IN,INDIA,2323900,84463002,5680025,214405804
ID,INDONESIA,1568325,66550327,9960950,441573122
IL,ISRAEL,0,0,353000,15614292
IT,ITALY,0,0,25,1611
JP,JAPAN,202125,10084750,782425,39027810
KE,KENYA,17000,660132,68000,2809820
KR,"KOREA,REPUBLIC OF",0,0,12075,574234
LA,LAO PDR,15000,592847,131000,5495431
MY,MALAYSIA,426000,16997003,1356300,59685869
MM,MYANMAR,60275,1943504,230275,9701340
NZ,NEW ZEALAND,30000,1276828,588480,26477590
NG,NIGERIA,0,0,50750,1913131
OM,OMAN,51000,1902935,153000,5921240
PK,PAKISTAN,34025,2910607,296200,18214702
PH,PHILIPPINES,747500,29355081,2508275,103079964
SG,SINGAPORE,37000,1659743,95000,4001366
ZA,SOUTH AFRICA,0,0,4300,409781
LK,SRI LANKA,0,0,68000,2959900
TW,"TAIWAN, PROVINCE OF CHINA",126000,4177595,182850,6789009
TZ,TANZANIA UNITED REPUBLIC OF,50000,2033643,83000,3483636
TR,TÜRKIYE,119000,3858338,308300,11618952
VN,VIETNAM,1011500,38853567,2882675,113478714
ZM,ZAMBIA,34000,1411761,34000,1411761
SUM,SUM,13548190,536118391,49189875,2078179975
