"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'FOB (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'FOB (Baht)')"
AR,ARGENTINA,129750,9262570,231650,16222654
AU,AUSTRALIA,69220,5295149,173620,11607733
BD,BANGLADESH,75000,3154805,126000,4515300
BR,BRAZIL,0,0,2000,105216
KH,CAMBODIA,5600,231544,24600,1074179
CN,CHINA,9356928,145969843,18554936,303243925
FJ,FIJI,0,0,17850,735910
DE,GERMANY,3000,10721,13000,46597
HK,HONG KONG,51800,434058,235200,1791916
IN,INDIA,356350,8640315,847150,20125291
ID,INDONESIA,121000,4551371,295355,12056991
IT,ITALY,15,7680,15,7680
JP,JAPAN,13475,1893260,400048,14831699
KR,"KOREA,REPUBLIC OF",88,5361,4088,289395
LA,LAO PDR,5500,400955,31550,1863009
MY,MALAYSIA,82911,7104576,179581,17369662
MM,MYANMAR,0,0,2500,226500
NP,NEPAL,12100,1750113,24100,3525851
NZ,NEW ZEALAND,27835,2201485,47755,3747595
PK,PAKISTAN,33000,1967577,102825,6362326
PH,PHILIPPINES,15000,1054453,31000,2025501
SG,SINGAPORE,11575,1280446,41575,4302545
SK,SLOVAKIA,0,0,101,9731
SI,SLOVENIA,230300,7310561,506200,15468128
ZA,SOUTH AFRICA,2300,175259,20565,1575698
LK,SRI LANKA,85000,2213618,85000,2213618
TW,"TAIWAN, PROVINCE OF CHINA",103200,3940891,432500,17697506
TR,TÜRKIYE,0,0,12000,658988
AE,UNITED ARAB EMIRATES,5000,335578,11350,732779
GB,UNITED KINGDOM,0,0,10,298
US,UNITED STATES,2600,541988,3602,1105010
UY,URUGUAY,0,0,600,98018
VN,VIETNAM,39525,2775136,297471,24713235
SUM,SUM,10838072,212509313,22755797,490350484
