"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'FOB (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,250,59922
BD,BANGLADESH,1000,52539,15000,776956
KH,CAMBODIA,0,0,15,1000
CN,CHINA,1735033,12987419,5598452,41683052
DO,DOMINICAN REPUBLIC,0,0,23000,1064637
IN,INDIA,99500,3644873,377500,13463605
KR,"KOREA,REPUBLIC OF",0,0,225567,1353712
LA,LAO PDR,0,0,713,65615
MM,MYANMAR,0,0,184,307000
RE,REUNION,0,0,80,5250
SG,SINGAPORE,0,0,2,3964
VN,VIETNAM,25900,1260735,53900,2588384
SUM,SUM,1861433,17945566,6294663,61373097
