"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'FOB (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'FOB (Baht)')"
AU,AUSTRALIA,182300,14169470,1064700,82462026
BD,BANGLADESH,237600,14810115,1406719,87512223
BE,BELGIUM,1564200,99635959,4236660,266307572
CA,CANADA,0,0,1875,10806
CN,CHINA,12485075,754437769,59533770,3571034741
ET,ETHIOPIA,0,0,170000,5031262
FJ,FIJI,0,0,22000,1181029
FR,FRANCE,0,0,40,8596
GA,GABON,0,0,17000,526858
DE,GERMANY,0,0,150,6618
GH,GHANA,36000,1140834,53000,1831588
HK,HONG KONG,235000,15042443,1179700,75462251
IN,INDIA,1896600,89676754,7953730,397742630
ID,INDONESIA,484100,29550678,2270013,143939659
JP,JAPAN,3386541,213064769,16017052,979648423
KE,KENYA,32000,1125779,33650,1168440
KR,"KOREA,REPUBLIC OF",1571800,106478318,11491025,762307636
LA,LAO PDR,120000,3228637,304377,8528262
MY,MALAYSIA,295400,19786453,1009775,65744155
MV,MALDIVES,16500,620065,33000,1215756
MM,MYANMAR,70,14000,270,24808
NL,NETHERLANDS,0,0,792000,65986466
NZ,NEW ZEALAND,39300,3024819,131100,10201676
PK,PAKISTAN,11000,727506,32175,1987317
PE,PERU,0,0,17000,657861
PH,PHILIPPINES,1012050,54587235,4069250,217182635
SG,SINGAPORE,217800,14157919,868572,56669376
ES,SPAIN,0,0,2790,201495
LK,SRI LANKA,0,0,60392,3891265
CH,SWITZERLAND,0,0,750,3201
TW,"TAIWAN, PROVINCE OF CHINA",515300,32840818,2637463,162712424
TZ,TANZANIA UNITED REPUBLIC OF,0,0,85000,2800810
AE,UNITED ARAB EMIRATES,0,0,38,128
US,UNITED STATES,900500,76523045,2218650,159181031
VN,VIETNAM,466860,32466188,2197814,151853055
SUM,SUM,25705996,1577109573,119911500,7285024079
