"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'FOB (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,56750,2009160
BD,BANGLADESH,0,0,933500,38484712
BR,BRAZIL,120000,7393076,1044000,59087548
KH,CAMBODIA,3500,517727,472305,22346387
CA,CANADA,0,0,514,2318
CN,CHINA,2785031,37645395,19032396,290871372
CO,COLOMBIA,0,0,100,34418
ET,ETHIOPIA,0,0,31675,1033519
FJ,FIJI,0,0,64000,2383233
DE,GERMANY,0,76,3000,493836
GH,GHANA,0,0,68000,3434502
HK,HONG KONG,0,0,50253,2222483
IN,INDIA,860233,55730802,7965198,416137473
ID,INDONESIA,17116,2376445,8776750,390407846
IT,ITALY,0,0,10,877
JP,JAPAN,36129,4387543,1066712,55108066
KE,KENYA,0,0,43450,721975
KR,"KOREA,REPUBLIC OF",16204,885380,349912,5177525
LA,LAO PDR,66025,4995317,446925,32003437
MG,MADAGASCAR,80150,2114431,80150,2114431
MY,MALAYSIA,38965,1635371,730399,37451991
MX,MEXICO,48000,2035018,300875,14684845
MM,MYANMAR,448000,17880371,6400240,286689460
NZ,NEW ZEALAND,0,0,15000,769664
NG,NIGERIA,0,0,17000,752828
PK,PAKISTAN,2250,210987,143775,7145378
PH,PHILIPPINES,33866,3970811,1671235,77825254
PT,PORTUGAL,0,0,51000,2083886
QA,QATAR,0,0,102000,4689954
SG,SINGAPORE,0,0,93618,4350613
SI,SLOVENIA,72180,4174807,326540,16714346
ZA,SOUTH AFRICA,58100,5371184,288100,19585640
LK,SRI LANKA,0,0,57425,4283780
TW,"TAIWAN, PROVINCE OF CHINA",15000,1416014,121180,11085229
TR,TÜRKIYE,0,0,35800,2233483
AE,UNITED ARAB EMIRATES,0,0,32375,1050904
GB,UNITED KINGDOM,49636,3149743,198742,11309716
US,UNITED STATES,0,0,16553,1873905
VN,VIETNAM,110250,8503020,4325050,197094697
SUM,SUM,4860635,164393518,55412507,2025750691
