"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'FOB (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'FOB (Baht)')"
AU,AUSTRALIA,84222,12949739,470808,54149909
AT,AUSTRIA,0,0,3100,274898
BD,BANGLADESH,10125,1163329,73200,7077066
BY,BELARUS,0,0,1000,170372
BE,BELGIUM,0,0,147,4772
BR,BRAZIL,0,0,121500,12708422
CA,CANADA,0,0,72000,6135192
CN,CHINA,215860,18845182,2583890,251174916
DJ,DJIBOUTI,0,0,64000,1918371
ET,ETHIOPIA,0,0,64000,1846248
GA,GABON,0,0,48600,1391803
DE,GERMANY,0,0,3266,209013
GH,GHANA,0,0,64350,1959921
HK,HONG KONG,0,0,144119,9526562
IN,INDIA,254920,20039758,1980935,166087146
ID,INDONESIA,82750,5999065,750198,60303125
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,100,10565
IT,ITALY,0,0,1405,18061
JP,JAPAN,129100,3082955,1436260,35537076
KR,"KOREA,REPUBLIC OF",29075,2911071,99525,10157238
KW,KUWAIT,0,550,0,1760
LA,LAO PDR,28000,1232000,187010,8736702
LR,LIBERIA,0,0,656000,21541829
MY,MALAYSIA,88025,4413638,881119,52501400
ML,MALI,0,0,16000,555605
MM,MYANMAR,0,0,24500,1193207
nan,NAMIBIA,0,0,24000,675196
NL,NETHERLANDS,0,0,160800,4640504
PK,PAKISTAN,9000,650837,39325,3724564
PH,PHILIPPINES,14168,1177804,166912,15435214
PL,POLAND,50,6108,50,6108
SG,SINGAPORE,12,27112,59742,3612225
ZA,SOUTH AFRICA,0,0,89748,6649701
LK,SRI LANKA,0,0,73110,2512585
TW,"TAIWAN, PROVINCE OF CHINA",75700,6121989,397486,41840130
TZ,TANZANIA UNITED REPUBLIC OF,0,0,16200,472327
TR,TÜRKIYE,0,0,850,135561
UG,UGANDA,0,0,46,22894
AE,UNITED ARAB EMIRATES,0,0,1100,181148
GB,UNITED KINGDOM,0,0,2,244
US,UNITED STATES,0,0,46775,4026375
UY,URUGUAY,0,0,16000,1531445
VN,VIETNAM,2275,275944,34060,3518693
SUM,SUM,1023282,78897081,10873238,794176093
