"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'FOB (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'FOB (Baht)')"
AO,ANGOLA,0,0,16250,528159
AU,AUSTRALIA,98290,4688220,143593,6786863
BD,BANGLADESH,1641500,78032951,3062840,147746509
BE,BELGIUM,5740,268150,5750,268522
BR,BRAZIL,118300,5920679,118400,5926328
KH,CAMBODIA,150000,6889387,195000,8957978
CM,CAMEROON,16500,819194,16500,819194
CA,CANADA,4,2000,4,2000
CN,CHINA,8285792,378361203,19532517,895678192
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",12000,580674,12000,580674
EG,EGYPT,72000,3998587,102000,6305324
ET,ETHIOPIA,32500,1118324,32500,1118324
PF,FRENCH POLYNESIA,30000,1417752,30000,1417752
DE,GERMANY,0,30,21675,1547192
GH,GHANA,32500,923938,48750,1400268
GN,GUINEA,34000,1496319,34000,1496319
HK,HONG KONG,1387843,62816871,4134076,190340242
IN,INDIA,451740,23523533,1128027,77727859
ID,INDONESIA,14344630,673932225,29951980,1398409928
IL,ISRAEL,112500,5337275,241500,11482010
IT,ITALY,344,295,344,295
JP,JAPAN,1778436,84221582,3790801,175085438
KE,KENYA,25000,728074,77000,3168620
KR,"KOREA,REPUBLIC OF",1000,39778,2575,109110
KW,KUWAIT,33000,1612668,33000,1612668
LA,LAO PDR,103000,4786804,345000,12285988
LR,LIBERIA,113511,3288014,113511,3288014
MG,MADAGASCAR,160000,1890336,288000,3445576
MW,MALAWI,26000,691154,26000,691154
MY,MALAYSIA,2044560,94373100,4225225,194899488
MU,MAURITIUS,173500,8357401,209000,10027389
MZ,MOZAMBIQUE,58500,1135400,58500,1135400
MM,MYANMAR,963100,43624953,1658375,74751675
NZ,NEW ZEALAND,33000,1533185,45000,2111582
NG,NIGERIA,66000,3061254,206250,9385679
OM,OMAN,33000,1557969,66000,3091559
PK,PAKISTAN,138100,7662093,259700,13981284
PE,PERU,51000,2389355,85000,4008865
PH,PHILIPPINES,1126500,54074367,2941900,140787882
SN,SENEGAL,0,0,32500,1056318
SG,SINGAPORE,139500,6409302,340500,15542282
ZA,SOUTH AFRICA,89300,5736738,146100,9907948
LK,SRI LANKA,77502,3650138,178002,7173244
TW,"TAIWAN, PROVINCE OF CHINA",44200,3158496,331911,15896969
TZ,TANZANIA UNITED REPUBLIC OF,16000,505664,16000,505664
TR,TÜRKIYE,91750,4120717,223400,10519590
UG,UGANDA,48625,1385944,48625,1385944
AE,UNITED ARAB EMIRATES,54500,2473533,249500,12008536
US,UNITED STATES,16000,719980,16000,719980
VN,VIETNAM,2324475,110346863,4187155,199588353
SUM,SUM,36655242,1703662469,79028236,3686712131
