"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,15000,205481
KH,CAMBODIA,0,0,52000,2940218
CN,CHINA,0,0,49400,3347064
ID,INDONESIA,2000,173581,102100,6327171
JP,JAPAN,0,0,1600,93434
KR,"KOREA,REPUBLIC OF",0,0,50,1582
MM,MYANMAR,0,0,39,10000
PK,PAKISTAN,0,0,26300,2389941
PH,PHILIPPINES,15100,927127,20200,1301126
ZA,SOUTH AFRICA,0,0,3000,281347
TW,"TAIWAN, PROVINCE OF CHINA",0,0,15000,1118360
US,UNITED STATES,0,0,5500,578344
SUM,SUM,17100,1100708,290189,18594068
