"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'FOB (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'FOB (Baht)')"
AR,ARGENTINA,750,53445,57750,4157927
AU,AUSTRALIA,17360,1509921,113185,9215148
BD,BANGLADESH,0,0,17500,677922
KH,CAMBODIA,40,9000,26040,1574124
CN,CHINA,4897140,120757862,25248878,377745620
FJ,FIJI,0,0,15000,935495
DE,GERMANY,0,0,264850,27909963
HK,HONG KONG,0,0,150,27612
IN,INDIA,554100,20942931,1724025,64621639
ID,INDONESIA,220500,10389378,446777,20788116
IT,ITALY,0,0,10,328
JP,JAPAN,150,14205,172269,12113060
KR,"KOREA,REPUBLIC OF",472200,2527942,1100586,5819471
LA,LAO PDR,8500,702322,27221,2318259
MY,MALAYSIA,56710,5245468,201931,20581263
MU,MAURITIUS,1000,165503,1000,165503
MM,MYANMAR,0,0,20000,1123664
NP,NEPAL,0,0,10000,1495462
NZ,NEW ZEALAND,0,0,1025,108631
PH,PHILIPPINES,3000,507194,18000,2066041
SG,SINGAPORE,8000,938347,34519,4147468
SI,SLOVENIA,207010,7051532,506300,17054489
ZA,SOUTH AFRICA,0,0,64000,1851041
TW,"TAIWAN, PROVINCE OF CHINA",125700,7195600,328125,15677016
TR,TÜRKIYE,12000,1862074,20002,3023190
AE,UNITED ARAB EMIRATES,0,0,27275,2876600
US,UNITED STATES,38370,1659400,142201,5155929
VN,VIETNAM,69850,7800740,245800,21139811
SUM,SUM,6692380,189332864,30834419,624370792
